Date,AAPL,MSFT,NVDA,JPM,XOM,KO,JNJ,WMT,DIS,SPY
2021-07-01,133.8042,260.6536,20.1423,137.8143,52.6366,46.5409,144.1867,43.5686,171.8648,402.293
2021-07-02,136.4263,266.4598,20.4164,137.6819,52.5617,46.7307,146.8105,43.8157,171.7193,405.368
2021-07-06,138.4342,266.4694,20.6272,135.3699,51.064,46.4719,145.9329,43.7625,168.4034,404.6297
2021-07-07,140.9199,268.6479,20.3015,135.5288,50.2652,46.8515,147.184,43.6906,167.5599,406.0597
2021-07-08,139.6235,266.2391,19.8341,133.1904,50.0405,46.6876,146.8973,43.653,167.5405,402.7511
2021-07-09,141.4462,266.7382,19.9811,137.4525,50.9475,46.9722,147.4795,43.8751,171.6514,407.0503
2021-07-12,140.8516,266.1431,20.4418,139.4202,50.8976,46.9895,147.2449,43.7969,178.7681,408.5084
2021-07-13,141.9628,269.6556,20.1802,137.3466,50.6563,47.4552,147.0624,43.9626,178.0603,407.1158
2021-07-14,145.3842,271.1239,19.7731,136.8789,49.533,48.5247,148.0615,44.266,177.8373,407.7234
2021-07-15,144.7312,269.7036,18.9009,137.1789,49.0504,48.68,146.2805,44.3004,178.5451,406.3307
2021-07-16,142.6939,269.4348,18.0984,134.0464,47.6941,48.6455,146.0459,44.2691,173.8524,403.1436
2021-07-19,138.8534,265.8456,18.715,129.6873,46.0549,48.0676,144.9859,44.1659,167.686,397.19
2021-07-20,142.46,268.0624,18.5478,132.105,46.5625,48.1538,146.35,44.3661,171.3703,402.8819
2021-07-21,141.7289,270.0586,19.3431,134.8846,48.0602,48.7748,147.2536,44.1471,171.506,406.1438
2021-07-22,143.0936,274.6076,19.5265,133.1816,47.5194,48.7058,147.6793,44.1784,169.7996,406.9943
2021-07-23,144.8091,277.9953,19.4906,132.9257,47.4611,49.1716,149.2518,44.5412,170.7789,411.1815
2021-07-26,145.2283,277.4003,19.2275,133.8169,48.6593,49.2147,149.3213,44.6037,173.2997,412.1909
2021-07-27,143.0643,274.9915,19.1418,133.6404,48.1185,49.3872,150.0077,44.6069,174.0366,410.3123
2021-07-28,141.3196,274.6844,19.4358,133.861,48.443,48.9387,149.5906,44.4255,173.6488,410.144
